interview_date,child_age_years,child_birthday,EC6,EC7,EC8,EC9,EC10,EC11,EC12,EC13,EC14,EC15
3/27/2019,4,5/1/2014,2,1,2,1,2,1,1,1,1,2
3/27/2019,3,7/1/2015,2,2,2,1,2,1,1,1,2,1
3/27/2019,4,9/13/2014,2,2,2,1,2,1,1,1,1,2
3/27/2019,3,6/24/2015,2,2,1,1,1,1,1,1,2,1
2/7/2019,3,6/12/2015,2,1,2,1,2,1,1,1,1,2
2/7/2019,3,5/29/2015,1,1,1,1,1,1,1,1,2,1
2/7/2019,3,8/17/2015,2,2,1,1,2,1,2,1,2,1
2/7/2019,3,7/3/2015,2,2,2,1,2,2,1,2,1,2
2/7/2019,4,9/16/2014,2,2,2,1,2,1,1,1,2,2
3/21/2019,4,9/30/2014,2,2,2,1,2,1,1,1,1,1
3/20/2019,3,4/16/2015,1,2,2,1,2,1,2,2,1,2
